"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "Properties", "XML", "Gradle", "Markdown", "HTML", "Swift", "Project.pbxproj", "comment", "blank", "total"
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/constants.dart", "Dart", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/main.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/pages/main_page.dart", "Dart", 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 11, 155
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/about_buttons.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/about_section.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/components/about_me.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 1, 3, 75
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/aboutSection/years_of.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 5, 109
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/contactSection/components/social_card.dart", "Dart", 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 50, 7, 248
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/contactSection/contact.dart", "Dart", 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 6, 6, 245
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/offeringsSection/components/project_estimate.dart", "Dart", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 2, 108
